conId,status,error,expiry,K
918880514,failed,no bars,2026-10-09 00:00:00,245.0
918880872,failed,no bars,2026-10-09 00:00:00,280.0
918881252,failed,no bars,2026-10-09 00:00:00,320.0
918883978,failed,no bars,2026-10-09 00:00:00,470.0
918884327,failed,no bars,2026-10-09 00:00:00,505.0
762981241,failed,no bars,2027-01-15 00:00:00,242.0
891787649,failed,no bars,2027-03-31 00:00:00,270.0
910573811,failed,no bars,2027-02-19 00:00:00,305.0
870310741,failed,no bars,2027-03-31 00:00:00,345.0
870311154,failed,no bars,2027-03-31 00:00:00,390.0
870312832,failed,no bars,2027-03-31 00:00:00,461.0
870313107,failed,no bars,2027-03-31 00:00:00,495.0
800378925,failed,no bars,2027-06-17 00:00:00,335.0
897588647,failed,no bars,2027-06-30 00:00:00,350.0
897590342,failed,no bars,2027-06-30 00:00:00,387.0
800380138,failed,no bars,2027-06-17 00:00:00,450.0
918880468,failed,no bars,2026-10-09 00:00:00,240.0
843266352,failed,no bars,2026-12-18 00:00:00,275.0
918881201,failed,no bars,2026-10-09 00:00:00,315.0
918883933,failed,no bars,2026-10-09 00:00:00,465.0
843268623,failed,no bars,2026-12-18 00:00:00,500.0
728894221,failed,no bars,2027-01-15 00:00:00,245.0
910573707,failed,no bars,2027-02-19 00:00:00,295.0
848877208,failed,no bars,2027-03-19 00:00:00,305.0
910574501,failed,no bars,2027-02-19 00:00:00,370.0
870311331,failed,no bars,2027-03-31 00:00:00,397.0
870312811,failed,no bars,2027-03-31 00:00:00,460.0
910576297,failed,no bars,2027-02-19 00:00:00,520.0
897588139,failed,no bars,2027-06-30 00:00:00,335.0
897589127,failed,no bars,2027-06-30 00:00:00,362.0
800379535,failed,no bars,2027-06-17 00:00:00,400.0
897592137,failed,no bars,2027-06-30 00:00:00,450.0
827394704,failed,no bars,2026-10-16 00:00:00,235.0
918880914,failed,no bars,2026-10-09 00:00:00,285.0
827013643,failed,no bars,2026-10-16 00:00:00,310.0
827395672,failed,no bars,2026-10-16 00:00:00,460.0
920632560,failed,no bars,2026-10-23 00:00:00,495.0
762981170,failed,no bars,2027-01-15 00:00:00,241.0
851615387,failed,no bars,2027-03-19 00:00:00,295.0
870310683,failed,no bars,2027-03-31 00:00:00,330.0
848877838,failed,no bars,2027-03-19 00:00:00,370.0
870311125,failed,no bars,2027-03-31 00:00:00,389.0
